CORREGIMIENTO,REGION,Image URL,Sem 11,Sem 12,Sem 13,Sem 14,Sem 15,Sem 16,Sem 17,Sem 18,Sem 19,Sem 20,Sem 21,Sem 22,Sem 23,Sem 24,Sem 25,Sem 26,Sem 27,Sem 28,Sem 29
24 DE DICIEMBRE,METROPOLITANA,,0,0.9,15.1,37.8,85.1,135.2,195.8,233.6,270.5,317.8,348,442.6,562.7,686.6,871,1043.1,1252.2,1467.8,1693.8
ACHIOTE,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.2,117.2
AGUA FRIA,DARIEN,,0,0,0,0,0,34.8,34.8,34.8,69.6,69.6,69.6,69.6,69.6,69.6,139.1,173.9,347.8,382.6,452.2
AGUADULCE,COCLE,,0,0,19,38.1,38.1,38.1,57.1,57.1,66.7,76.2,76.2,76.2,114.3,123.8,152.4,238.1,295.2,361.9,523.8
AILIGANDI,GUNA YALA,,0,0,6.1,18.4,67.3,110.2,306.1,575.5,612.2,618.3,618.3,618.3,618.3,618.3,618.3,618.3,618.3,618.3,624.5
ALANJE,CHIRIQUI,,0,0,0,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,137.7,137.7,378.7,550.8,585.2,963.9,1445.8
ALCALDE DIAZ,PANAMA NORTE,,1.5,7.6,29.1,62.7,111.6,149.8,168.2,195.7,208,233.9,250.8,315,420.5,558.1,749.2,915.9,1253.8,1536.7,1770.7
ALMIRANTE,BOCAS DEL TORO,,0,0,0,0,0,0,18.2,18.2,18.2,36.3,36.3,54.5,72.7,163.5,436,599.6,872.1,1508,1998.5
ALTO BOQUETE,CHIRIQUI,,0,0,27,27,27,67.6,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,243.4,378.6,486.8
ALTO CABALLERO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,68.4,102.7,136.9
AMADOR,PANAMA OESTE,,0,0,28.6,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,142.8,142.8,199.9,228.5,428.4,485.6,571.3,599.8
AMELIA DENIS DE ICAZA,SAN MIGUELITO,,2.3,9.1,49.9,68.1,118,136.2,165.7,211.1,261,311,358.6,438.1,624.2,792.2,1010.1,1259.8,1598,1884,2160.9
ANCON,METROPOLITANA,,5.8,21.3,48.5,79.5,178.3,226.7,288.8,341.1,387.6,424.4,463.2,515.5,573.7,643.4,707.4,827.5,969,1067.9,1184.1
ANTON,COCLE,,0,0,0,0,0,0,0,0,9.8,19.7,59,59,59,59,78.7,78.7,108.2,186.8,226.2
ARNULFO ARIAS,SAN MIGUELITO,,0,5.4,24.4,32.5,67.7,97.5,127.3,205.9,273.6,341.3,406.3,547.2,701.6,1053.8,1397.8,1668.7,1945.1,2229.5,2497.7
AROSEMENA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,902.5
ARRAIJAN,PANAMA OESTE,,1.7,5.2,33,131.8,275.8,345.2,430.1,529,627.9,725,815.2,988.6,1226.3,1469.1,1826.4,2225.3,2638.1,3018,3375.2
ASERRIO DE GARICHE,CHIRIQUI,,0,0,17,17,34.1,34.1,34.1,51.1,68.1,85.2,119.3,119.3,119.3,119.3,119.3,119.3,187.4,221.5,340.7
ATALAYA,VERAGUAS,,0,0,37.1,74.2,129.9,148.5,241.3,297,315.5,482.6,519.7,593.9,631,761,816.6,1002.2,1132.1,1410.5,1540.5
BACO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,25.3,151.5,227.3,303,404,517.7,568.2,631.3
BAGALA,CHIRIQUI,,0,0,0,0,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,162.7,162.7,325.5,406.8,732.3,935.7
BAHIA HONDA,VERAGUAS,,0,0,0,0,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1
BAJO BOQUETE,CHIRIQUI,,0,0,0,0,20.8,41.6,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,103.9,145.5,228.6
BAJO CEDRO,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,192.7,192.7,192.7,192.7,192.7,289,385.4
BARRIADA 4 ABRIL,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,92.9,92.9,742.8,1021.4,1392.8,1485.6,1578.5,1671.3,1764.2
BARRIADA GUAYMI,BOCAS DEL TORO,,0,0,0,0,0,0,11.4,11.4,11.4,11.4,11.4,11.4,11.4,34.3,45.8,91.6,91.6,114.5,263.3
BARRIO BALBOA,PANAMA OESTE,,0,5.8,32.2,43.9,64.3,73.1,84.8,102.4,108.2,131.6,149.2,201.8,228.1,272,365.6,485.5,585,722.4,862.8
BARRIO COLON,PANAMA OESTE,,2.5,7.4,14.7,58.8,85.8,110.3,152,176.5,191.2,213.3,237.8,286.8,357.9,419.2,549.2,654.6,784.5,968.4,1220.9
BARRIO FRANCES,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,74
BARRIO NORTE,COLON,,0,4,4,8,12,15.9,19.9,27.9,27.9,31.9,35.9,47.8,55.8,87.7,143.5,227.2,346.8,490.3,637.8
BARRIO SUR,COLON,,0,0,0,0,0,17.5,17.5,17.5,17.5,17.5,17.5,29.2,52.5,116.8,128.4,233.5,344.4,414.5,595.5
BARRIOS UNIDOS,COCLE,,0,0,0,0,18.2,18.2,27.3,36.4,36.4,36.4,36.4,45.5,54.6,72.8,72.8,81.9,81.9,100,118.2
BASTIMENTO,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,186.6
BEJUCO,PANAMA OESTE,,0,0,0,0,14.2,14.2,14.2,14.2,14.2,14.2,28.4,28.4,28.4,71,99.4,113.6,198.8,355.1,411.9
BELISARIO FRIAS,SAN MIGUELITO,,0,0,13.6,36.9,87.5,118.6,147.7,192.4,244.9,305.2,342.1,449,590.9,880.5,1238.2,1551.1,1842.7,2163.4,2600.7
BELISARIO PORRAS,SAN MIGUELITO,,3.5,5.2,19.2,40.1,111.5,135.8,175.9,263,320.4,395.3,461.5,637.4,815,1091.9,1454.1,1812.8,2182,2481.5,2826.3
BELLA VISTA,METROPOLITANA,,8.6,42.8,97,142.6,165.5,176.9,211.1,288.2,316.7,333.8,359.5,393.7,450.8,513.5,613.4,784.6,952.9,1138.3,1332.3
BETANIA,METROPOLITANA,,9.3,22.3,76.3,104.2,137.8,178.7,208.5,247.6,264.3,281.1,296,335.1,415.1,471,578.9,666.4,837.7,986.6,1122.5
BIJAGUAL,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1
BISIRA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,20.2,20.2,20.2,20.2,60.6,303,323.2,605.9,646.3,949.3
BISVALLES,VERAGUAS,,0,0,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8
BOCA CHICA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.5,183.5
BOCA DE BALSA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,42.4,42.4,42.4
BOCA DE CUPE,DARIEN,,0,0,0,0,0,0,60.6,60.6,60.6,60.6,60.6,60.6,60.6,606.4,1758.6,2183.1,2486.4,2547,2547
BOCA DEL MONTE,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7,44.7,44.7,89.4
BOCAS DEL TORO,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,19.9,139.4,229,398.3,517.8,627.4,746.9,1005.8
BOQUERON,CHIRIQUI,,0,0,0,23.5,46.9,93.9,93.9,93.9,93.9,93.9,93.9,140.8,140.8,258.1,375.4,445.8,633.5,868.1,962
BORO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.2,164.2
BUENA VISTA,COLON,,0,0,0,5.8,11.6,17.4,17.4,23.2,23.2,23.2,29,46.3,104.3,156.4,260.6,353.3,480.7,683.5,1164.2
BUENOS AIRES,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,74.7,74.7,74.7,74.7,74.7
BUENOS AIRES,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,37.7
BUGABA,CHIRIQUI,,0,0,0,0,0,71.7,71.7,71.7,95.6,143.3,143.3,143.3,143.3,262.8,453.9,764.5,1075,1791.7,2699.5
BURI,NGOBE BUGLE,,0,0,0,0,0,0,30.3,136.3,378.6,439.2,484.6,499.8,499.8,530.1,530.1,545.2,590.6,651.2,666.4
BURUNGA,PANAMA OESTE,,0,0,22.4,42.8,83.8,128.5,180.7,231,273.8,314.8,344.6,465.6,573.7,674.2,761.8,888.4,1030,1186.4,1348.5
CABALLERO,COCLE,,0,0,0,0,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,111.2,111.2,194.6
CABUYA,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3
CABUYA,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.9,594.7,1189.5
CABUYA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,183.9,183.9,229.9,229.9,229.9,229.9,321.8
CAIMITILLO,PANAMA NORTE,,0,3.8,11.3,33.9,60.3,60.3,64.1,75.4,83,109.3,128.2,158.4,252.6,350.7,497.7,588.2,720.2,920,1067
CAIMITO,PANAMA OESTE,,0,0,0,0,48.9,48.9,48.9,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,195.6,244.5,244.5,244.5
CAIZAN,CHIRIQUI,,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,102,102,102
CALIDONIA,METROPOLITANA,,0,4.7,60.5,181.4,311.6,386,446.5,507,581.4,669.7,874.4,1065.1,1288.3,1493,1739.5,1944.1,2148.7,2446.4,2627.8
CALOBRE,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,38.2,76.4,267.4,267.4,305.6
CALOVEBORA O SANTA CATALINA O BLEDESHIA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,173.9,318.8,405.8,405.8
CAMARON ARRIBA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,20.8,20.8,41.5,41.5
CAMPANA,PANAMA OESTE,,0,0,0,0,0,0,37.9,151.7,151.7,151.7,151.7,189.6,189.6,189.6,227.5,303.4,303.4,341.3,379.2
CANTA GALLO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.9,702.2,702.2,702.2
CANTO DEL LLANO,VERAGUAS,,0,0,0,0,69.9,116.5,174.7,232.9,232.9,314.5,314.5,396,489.2,594,710.5,815.3,966.7,1188,1386
CAÑAVERAL,COCLE,,0,11.9,11.9,11.9,11.9,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,47.6,47.6,107.1,154.7,214.2
CAÑAZAS,VERAGUAS,,0,0,18.1,18.1,36.1,36.1,36.1,54.2,54.2,54.2,54.2,72.3,72.3,72.3,72.3,72.3,72.3,144.5,271
CAÑITAS,PANAMA ESTE,,0,0,0,61.5,61.5,61.5,61.5,61.5,61.5,92.3,92.3,92.3,153.8,215.3,215.3,246.1,369.1,953.6,2153.2
CAPELLANIA,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1,100.2,100.2,100.2,250.4
CAPIRA,PANAMA OESTE,,0,0,29.5,29.5,103.2,132.7,162.2,177,206.5,206.5,206.5,206.5,206.5,265.4,383.4,486.7,678.4,973.3,1342
CARLOS SANTANA AVILA,VERAGUAS,,0,0,0,0,0,0,22.7,22.7,22.7,22.7,22.7,45.5,45.5,45.5,90.9,181.8,272.7,409.1,590.9
CASCABEL,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,55.1
CATIVA,COLON,,0,2.3,6.9,16.2,16.2,30.1,53.2,69.4,74,78.6,85.5,94.8,127.1,161.8,226.6,302.8,404.6,568.7,762.9
CAUCHERO,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,91.6,91.6
CERMEÑO,PANAMA OESTE,,0,0,0,0,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2
CERRO BANCO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,28.1,28.1,28.1,28.1,42.1,42.1,70.1
CERRO CAÑA,NGOBE BUGLE,,0,0,0,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,118.3,118.3
CERRO IGLESIAS,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,36.2,36.2
CERRO PELADO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,30.5,152.6,305.3,702.1,946.3,1037.9,1129.4
CERRO PUERCO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7,110.2,165.3
CERRO PUNTA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,584.9,827.4
CERRO SILVESTRE,PANAMA OESTE,,0,6,39.2,63.3,96.4,120.5,162.7,186.8,207.9,220,250.1,385.7,427.9,539.4,659.9,714.1,819.6,970.2,1148
CHAME,PANAMA OESTE,,0,0,0,0,0,0,32.3,64.6,64.6,96.9,96.9,193.9,226.2,323.1,387.7,549.3,1001.6,1195.5,1389.3
CHANGUINOLA,BOCAS DEL TORO,,0,0,0,0,0,0,6,18,30,48,96,264.1,474.2,1008.3,1584.5,2448.8,2965,4105.4,4423.5
CHEPIGANA,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.3,264.6,264.6,264.6
CHEPO,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8,68.8
CHEPO,PANAMA ESTE,,0,3.6,3.6,21.3,92.5,128.1,174.3,199.2,245.4,305.9,352.2,394.8,583.4,843.1,1074.3,1351.7,1611.4,2034.7,2550.5
CHICHICA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,584.1,1261.7,2172.9
CHIGUIRI ARRIBA,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,9.1,9.1,9.1,9.1,9.1
CHILIBRE,PANAMA NORTE,,3.5,5.2,32.9,60.5,129.7,233.4,250.7,290.5,311.2,330.2,356.2,406.3,453,551.5,686.4,862.8,1037.4,1201.6,1383.2
CHIMAN,PANAMA ESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.2
CHIRIQUI,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,98.3,491.3
CHIRIQUI GRANDE,BOCAS DEL TORO,,0,0,0,0,0,0,22.3,89.3,134,402.1,848.8,1384.9,1853.9,2144.3,2278.3,2345.3,2546.3,2635.7,2680.4
CHITRE,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,9.7,9.7,9.7,29.1,48.5,48.5,106.8
CHUPA,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.5,210.5,210.5
CIRI GRANDE,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9,46.9
CIRICITO,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,389.2,444.8,583.8
CIRILO GUAINORA,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,109.4,947.9,1494.7,1786.4,1932.2,2150.9,2296.8
COCHEA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,66.4,66.4,66.4,66.4,66.4,66.4,99.6
COCLE,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,44.2,88.4,154.8,199
COCLE DEL NORTE,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,23.7,23.7,23.7
COMARCA MADUGANDI,PANAMA ESTE,,0,0,0,0,0,0,0,0,0,0,0,221.1,552.7,571.1,571.1,589.5,589.5,608,608
COMARCA WARGANDI,DARIEN,,0,0,0,171.5,274.3,308.6,308.6,548.7,617.3,754.5,891.6,891.6,891.6,891.6,925.9,925.9,925.9,925.9,925.9
COROZAL,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,104.1,104.1,104.1,104.1,104.1,104.1,104.1
COSTA HERMOSA,VERAGUAS,,0,0,0,0,128.6,128.6,128.6,128.6,128.6,128.6,128.6,128.6,192.9,192.9,192.9,192.9,192.9,192.9,192.9
CRISTOBAL,COLON,,0,1.6,6.4,11.3,25.8,45.1,66.1,99.9,114.5,122.5,141.9,190.2,217.6,304.7,386.9,472.3,590,749.6,944.7
CUANGO,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.9,185.9
CUCUNATI,DARIEN,,0,0,0,69.3,138.5,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,346.3
CURUNDU,METROPOLITANA,,0,0,16.9,101.5,287.6,513.1,682.3,941.6,1223.6,1528.1,1736.7,2148.3,2661.4,3044.8,3343.7,3625.6,4014.7,4324.8,4522.1
DAVID,CHIRIQUI,,0,0,28.6,32.6,44.9,57.1,69.4,69.4,77.5,85.7,114.2,138.7,204,342.7,526.3,1064.9,1721.7,2182.8,2623.4
DAVID ESTE,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,28.6,35,44.5,44.5
DAVID SUR,CHIRIQUI,,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,5,12.4,27.2,52,52
DIVALA,CHIRIQUI,,0,0,0,36.1,72.3,144.6,144.6,144.6,180.7,758.9,3324.9,3722.4,4842.8,5204.2,5710.2,5927,6143.8,6360.7,6577.5
DOLEGA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,43,64.4,128.9,279.3,708.9,945.2
DON BOSCO,METROPOLITANA,,0,4.3,36.5,55.8,96.6,139.5,163.1,182.4,266.1,276.8,291.8,339,403.4,457,560,703.8,877.6,1085.7,1270.2
DOS RIOS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,119.9,239.8
EDWIN FABREGA,VERAGUAS,,0,0,78.3,78.3,104.4,104.4,287,287,313.1,365.2,365.2,365.2,365.2,391.3,417.4,521.8,521.8,547.9,652.2
EL ARADO,PANAMA OESTE,,0,0,0,0,88.4,88.4,88.4,117.8,117.8,176.7,500.7,530.2,706.9,1001.5,1089.8,1119.3,1207.7,1443.3,1708.4
EL AROMILLO,VERAGUAS,,0,0,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9
EL BARRERO,HERRERA,,0,0,0,0,0,0,0,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2
EL BARRITO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,101,101
EL CACAO,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,16.6,33.2,49.9,66.5
EL CAÑO,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,23.5,23.5,47,47,188
EL CEDRO,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.8,189.8,379.5
EL CHIRU,COCLE,,0,0,0,0,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,51.7,77.5
EL CHORRILLO,METROPOLITANA,,0,0,24.8,94.2,213.2,297.5,411.5,540.5,679.3,818.1,1051.2,1418.1,1819.7,2201.5,2999.8,3679.1,4105.5,4507.1,5007.9
EL COCO,COCLE,,0,0,15.9,15.9,31.7,31.7,31.7,47.6,47.6,47.6,63.5,63.5,63.5,79.3,111.1,111.1,285.6,301.4,301.4
EL COCO,PANAMA OESTE,,0,0,4.1,20.4,57,73.3,97.8,122.2,130.4,134.5,163,232.3,264.9,338.2,411.6,533.8,676.4,851.6,1083.9
EL COPE,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8
EL CRISTO,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,31.4,62.8,62.8,62.8,94.1,125.5,125.5
EL CUAY,VERAGUAS,,0,0,0,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9
EL EJIDO,LOS SANTOS,,0,0,0,0,44.5,44.5,44.5,44.5,44.5,44.5,44.5,88.9,88.9,88.9,88.9,133.4,133.4,133.4,133.4
